"","Invoice No.","Stock Code","Description","Quantity","Invoice Date","Unit Price","Customer ID","Country"
"65","537197","22961","JAM MAKING SET PRINTED",12,2010-12-05 14:02:00,1.45,12647,"Germany"
"66","537197","22962","JAM JAR WITH PINK LID",12,2010-12-05 14:02:00,0.85,12647,"Germany"
"67","537197","22963","JAM JAR WITH GREEN LID",12,2010-12-05 14:02:00,0.85,12647,"Germany"
"68","537197","84997D","PINK 3 PIECE POLKADOT CUTLERY SET",6,2010-12-05 14:02:00,3.75,12647,"Germany"
"69","537197","22199","FRYING PAN RED RETROSPOT",4,2010-12-05 14:02:00,4.25,12647,"Germany"
"70","537197","22200","FRYING PAN PINK POLKADOT",4,2010-12-05 14:02:00,4.25,12647,"Germany"
"71","537197","22505","MEMO BOARD COTTAGE DESIGN",4,2010-12-05 14:02:00,4.95,12647,"Germany"
"72","537197","22507","MEMO BOARD RETROSPOT  DESIGN",4,2010-12-05 14:02:00,4.95,12647,"Germany"
"73","537197","84050","PINK HEART SHAPE EGG FRYING PAN",6,2010-12-05 14:02:00,1.65,12647,"Germany"
"74","537197","85055","FRENCH ENAMEL UTENSIL HOLDER",4,2010-12-05 14:02:00,3.75,12647,"Germany"
"75","537197","84968A","SET OF 16 VINTAGE ROSE CUTLERY",1,2010-12-05 14:02:00,12.75,12647,"Germany"
"76","537197","POST","POSTAGE",3,2010-12-05 14:02:00,18,12647,"Germany"
"77","537197","22624","IVORY KITCHEN SCALES",2,2010-12-05 14:02:00,8.5,12647,"Germany"
"78","537197","22841","ROUND CAKE TIN VINTAGE GREEN",1,2010-12-05 14:02:00,0,12647,"Germany"
"79","537197","22847","BREAD BIN DINER STYLE IVORY",1,2010-12-05 14:02:00,16.95,12647,"Germany"
"80","537198","20685","DOORMAT RED RETROSPOT",10,2010-12-05 14:03:00,6.75,12647,"Germany"
"81","537198","POST","POSTAGE",1,2010-12-05 14:03:00,18,12647,"Germany"
"82","537201","22781","GUMBALL MAGAZINE RACK",2,2010-12-05 14:19:00,7.65,12472,"Germany"
"83","537201","22865","HAND WARMER OWL DESIGN",24,2010-12-05 14:19:00,2.1,12472,"Germany"
"84","537201","22960","JAM MAKING SET WITH JARS",12,2010-12-05 14:19:00,3.75,12472,"Germany"
"85","537201","22961","JAM MAKING SET PRINTED",12,2010-12-05 14:19:00,1.45,12472,"Germany"
"86","537201","22962","JAM JAR WITH PINK LID",24,2010-12-05 14:19:00,0.85,12472,"Germany"
"87","537201","22963","JAM JAR WITH GREEN LID",24,2010-12-05 14:19:00,0.85,12472,"Germany"
"88","537201","22964","3 PIECE SPACEBOY COOKIE CUTTER SET",18,2010-12-05 14:19:00,2.1,12472,"Germany"
"89","537201","22972","CHILDREN'S SPACEBOY MUG",12,2010-12-05 14:19:00,1.65,12472,"Germany"
"90","537201","22973","CHILDREN'S CIRCUS PARADE MUG",12,2010-12-05 14:19:00,1.65,12472,"Germany"
"91","537201","22975","SPACEBOY CHILDRENS EGG CUP",12,2010-12-05 14:19:00,1.25,12472,"Germany"
"92","537201","22976","CIRCUS PARADE CHILDRENS EGG CUP",12,2010-12-05 14:19:00,1.25,12472,"Germany"
"93","537201","22834","HAND WARMER BABUSHKA DESIGN",12,2010-12-05 14:19:00,2.1,12472,"Germany"
"94","537201","22568","FELTCRAFT CUSHION OWL",4,2010-12-05 14:19:00,3.75,12472,"Germany"
"95","537201","84375","SET OF 20 KIDS COOKIE CUTTERS",12,2010-12-05 14:19:00,2.1,12472,"Germany"
"96","537201","22940","FELTCRAFT CHRISTMAS FAIRY",8,2010-12-05 14:19:00,4.25,12472,"Germany"
"97","537201","22898","CHILDRENS APRON APPLES DESIGN",8,2010-12-05 14:19:00,1.95,12472,"Germany"
"98","537201","22837","HOT WATER BOTTLE BABUSHKA",4,2010-12-05 14:19:00,4.65,12472,"Germany"
"99","537201","22968","ROSE COTTAGE KEEPSAKE BOX",2,2010-12-05 14:19:00,9.95,12472,"Germany"
"100","537201","22816","CARD MOTORBIKE SANTA",12,2010-12-05 14:19:00,0.42,12472,"Germany"
"101","537201","22818","CARD CHRISTMAS VILLAGE",24,2010-12-05 14:19:00,0.42,12472,"Germany"
"102","537201","21915","RED  HARMONICA IN BOX",24,2010-12-05 14:19:00,1.25,12472,"Germany"
"103","537201","21914","BLUE HARMONICA IN BOX",24,2010-12-05 14:19:00,1.25,12472,"Germany"
"104","537201","22333","RETROSPOT PARTY BAG + STICKER SET",8,2010-12-05 14:19:00,1.65,12472,"Germany"
"105","537201","20668","DISCO BALL CHRISTMAS DECORATION",24,2010-12-05 14:19:00,0.12,12472,"Germany"
"106","537201","21817","GLITTER CHRISTMAS TREE",12,2010-12-05 14:19:00,0.85,12472,"Germany"
"107","537201","22337","ANGEL DECORATION PAINTED ZINC",24,2010-12-05 14:19:00,0.65,12472,"Germany"
"108","537201","22571","ROCKING HORSE RED CHRISTMAS",24,2010-12-05 14:19:00,0.85,12472,"Germany"
"109","537201","22572","ROCKING HORSE GREEN CHRISTMAS",24,2010-12-05 14:19:00,0.85,12472,"Germany"
"110","537201","22579","WOODEN TREE CHRISTMAS SCANDINAVIAN",24,2010-12-05 14:19:00,0.85,12472,"Germany"
"111","537201","22601","CHRISTMAS RETROSPOT ANGEL WOOD",24,2010-12-05 14:19:00,0.85,12472,"Germany"
"112","537201","84341B","SMALL PINK MAGIC CHRISTMAS TREE",12,2010-12-05 14:19:00,0.85,12472,"Germany"
"113","537201","22629","SPACEBOY LUNCH BOX",36,2010-12-05 14:19:00,1.95,12472,"Germany"
"114","537201","22326","ROUND SNACK BOXES SET OF4 WOODLAND",24,2010-12-05 14:19:00,2.95,12472,"Germany"
"115","537201","20719","WOODLAND CHARLOTTE BAG",30,2010-12-05 14:19:00,0.85,12472,"Germany"
"116","537201","22556","PLASTERS IN TIN CIRCUS PARADE",12,2010-12-05 14:19:00,1.65,12472,"Germany"
"117","537201","22895","SET OF 2 TEA TOWELS APPLE AND PEARS",12,2010-12-05 14:19:00,2.95,12472,"Germany"
"118","537201","20750","RED RETROSPOT MINI CASES",4,2010-12-05 14:19:00,7.95,12472,"Germany"
"119","537201","22321","BIRD DECORATION RED RETROSPOT",12,2010-12-05 14:19:00,0.85,12472,"Germany"
"120","537201","22354","RETROSPOT PADDED SEAT CUSHION",10,2010-12-05 14:19:00,3.75,12472,"Germany"
"121","537201","22077","6 RIBBONS RUSTIC CHARM",24,2010-12-05 14:19:00,1.65,12472,"Germany"
"122","537201","85049E","SCANDINAVIAN REDS RIBBONS",12,2010-12-05 14:19:00,1.25,12472,"Germany"
"123","537201","85049D","BRIGHT BLUES RIBBONS",12,2010-12-05 14:19:00,1.25,12472,"Germany"
"124","537201","85049F","BABY BOOM RIBBONS",12,2010-12-05 14:19:00,1.25,12472,"Germany"
"125","537201","85049G","CHOCOLATE BOX RIBBONS",12,2010-12-05 14:19:00,1.25,12472,"Germany"
"126","537201","22141","CHRISTMAS CRAFT TREE TOP ANGEL",12,2010-12-05 14:19:00,2.1,12472,"Germany"
"127","537201","22144","CHRISTMAS CRAFT LITTLE FRIENDS",12,2010-12-05 14:19:00,2.1,12472,"Germany"
"128","537201","22602","CHRISTMAS RETROSPOT HEART WOOD",12,2010-12-05 14:19:00,0.85,12472,"Germany"
"129","537201","22600","CHRISTMAS RETROSPOT STAR WOOD",12,2010-12-05 14:19:00,0.85,12472,"Germany"
"130","537201","22595","CHRISTMAS GINGHAM HEART",12,2010-12-05 14:19:00,0.85,12472,"Germany"
"131","537201","22594","CHRISTMAS GINGHAM TREE",12,2010-12-05 14:19:00,0.85,12472,"Germany"
"132","537201","22593","CHRISTMAS GINGHAM STAR",12,2010-12-05 14:19:00,0.85,12472,"Germany"
"133","537201","22573","STAR WOODEN CHRISTMAS DECORATION",12,2010-12-05 14:19:00,0.85,12472,"Germany"
"134","537201","22574","HEART WOODEN CHRISTMAS DECORATION",12,2010-12-05 14:19:00,0.85,12472,"Germany"
"135","537201","22577","WOODEN HEART CHRISTMAS SCANDINAVIAN",12,2010-12-05 14:19:00,0.85,12472,"Germany"
"136","537201","22578","WOODEN STAR CHRISTMAS SCANDINAVIAN",12,2010-12-05 14:19:00,0.85,12472,"Germany"
"137","537201","20724","RED RETROSPOT CHARLOTTE BAG",20,2010-12-05 14:19:00,0.85,12472,"Germany"
"138","537201","22423","REGENCY CAKESTAND 3 TIER",4,2010-12-05 14:19:00,12.75,12472,"Germany"
"139","537201","22328","ROUND SNACK BOXES SET OF 4 FRUITS",12,2010-12-05 14:19:00,2.95,12472,"Germany"
"140","537201","22631","CIRCUS PARADE LUNCH BOX",12,2010-12-05 14:19:00,1.95,12472,"Germany"
"141","537201","22080","RIBBON REEL POLKADOTS",10,2010-12-05 14:19:00,1.65,12472,"Germany"
"142","537201","22079","RIBBON REEL HEARTS DESIGN",10,2010-12-05 14:19:00,1.65,12472,"Germany"
"143","537201","22078","RIBBON REEL LACE DESIGN",10,2010-12-05 14:19:00,2.1,12472,"Germany"
"144","537201","22867","HAND WARMER BIRD DESIGN",12,2010-12-05 14:19:00,2.1,12472,"Germany"
"145","537201","22467","GUMBALL COAT RACK",12,2010-12-05 14:19:00,2.55,12472,"Germany"
"146","537201","22242","5 HOOK HANGER MAGIC TOADSTOOL",12,2010-12-05 14:19:00,1.65,12472,"Germany"
"147","537201","22244","3 HOOK HANGER MAGIC GARDEN",12,2010-12-05 14:19:00,1.95,12472,"Germany"
"148","537201","22245","HOOK, 1 HANGER ,MAGIC GARDEN",12,2010-12-05 14:19:00,0.85,12472,"Germany"
"149","537201","20914","SET/5 RED RETROSPOT LID GLASS BOWLS",6,2010-12-05 14:19:00,2.95,12472,"Germany"
"150","537201","POST","POSTAGE",6,2010-12-05 14:19:00,18,12472,"Germany"
"151","537201","22636","CHILDS BREAKFAST SET CIRCUS PARADE",4,2010-12-05 14:19:00,8.5,12472,"Germany"
"152","537212","20712","JUMBO BAG WOODLAND ANIMALS",10,2010-12-05 15:21:00,1.95,12720,"Germany"
"153","537212","20719","WOODLAND CHARLOTTE BAG",10,2010-12-05 15:21:00,0.85,12720,"Germany"
"154","537212","22554","PLASTERS IN TIN WOODLAND ANIMALS",12,2010-12-05 15:21:00,1.65,12720,"Germany"
"155","537212","21981","PACK OF 12 WOODLAND TISSUES",24,2010-12-05 15:21:00,0.29,12720,"Germany"
"156","537212","22960","JAM MAKING SET WITH JARS",6,2010-12-05 15:21:00,4.25,12720,"Germany"
"157","537212","22961","JAM MAKING SET PRINTED",12,2010-12-05 15:21:00,1.45,12720,"Germany"
"158","537212","22962","JAM JAR WITH PINK LID",12,2010-12-05 15:21:00,0.85,12720,"Germany"
"159","537212","22963","JAM JAR WITH GREEN LID",12,2010-12-05 15:21:00,0.85,12720,"Germany"
"160","537212","21984","PACK OF 12 PINK PAISLEY TISSUES",24,2010-12-05 15:21:00,0.29,12720,"Germany"
"161","537212","21883","STARS GIFT TAPE",12,2010-12-05 15:21:00,0.65,12720,"Germany"
"162","537212","22557","PLASTERS IN TIN VINTAGE PAISLEY",12,2010-12-05 15:21:00,1.65,12720,"Germany"
"163","537212","22197","SMALL POPCORN HOLDER",24,2010-12-05 15:21:00,0.85,12720,"Germany"
"164","537212","22346","PARTY PIZZA DISH GREEN POLKADOT",12,2010-12-05 15:21:00,0.85,12720,"Germany"
"165","537212","22344","PARTY PIZZA DISH PINK POLKADOT",12,2010-12-05 15:21:00,0.85,12720,"Germany"
"166","537212","22345","PARTY PIZZA DISH BLUE POLKADOT",12,2010-12-05 15:21:00,0.85,12720,"Germany"
"167","537212","22149","FELTCRAFT 6 FLOWER FRIENDS",6,2010-12-05 15:21:00,2.1,12720,"Germany"
"168","537212","22625","RED KITCHEN SCALES",2,2010-12-05 15:21:00,8.5,12720,"Germany"
"169","537212","22624","IVORY KITCHEN SCALES",2,2010-12-05 15:21:00,8.5,12720,"Germany"
"170","537212","22111","SCOTTIE DOG HOT WATER BOTTLE",3,2010-12-05 15:21:00,4.95,12720,"Germany"
"171","537212","21481","FAWN BLUE HOT WATER BOTTLE",6,2010-12-05 15:21:00,2.95,12720,"Germany"
"172","537212","84920","PINK FLOWER FABRIC PONY",4,2010-12-05 15:21:00,3.75,12720,"Germany"
"173","537212","21430","SET/3 RED GINGHAM ROSE STORAGE BOX",4,2010-12-05 15:21:00,3.75,12720,"Germany"
"174","537212","20677","PINK POLKADOT BOWL",8,2010-12-05 15:21:00,1.25,12720,"Germany"
"175","537212","21243","PINK  POLKADOT PLATE",8,2010-12-05 15:21:00,1.69,12720,"Germany"
"176","537212","20718","RED RETROSPOT SHOPPER BAG",10,2010-12-05 15:21:00,1.25,12720,"Germany"
"177","537212","22386","JUMBO BAG PINK POLKADOT",10,2010-12-05 15:21:00,1.95,12720,"Germany"
"178","537212","85099B","JUMBO BAG RED RETROSPOT",10,2010-12-05 15:21:00,1.95,12720,"Germany"
"179","537212","21238","RED RETROSPOT CUP",8,2010-12-05 15:21:00,0.85,12720,"Germany"
"180","537212","21239","PINK  POLKADOT CUP",8,2010-12-05 15:21:00,0.85,12720,"Germany"
"181","537212","POST","POSTAGE",4,2010-12-05 15:21:00,18,12720,"Germany"
"182","537250","84030E","ENGLISH ROSE HOT WATER BOTTLE",4,2010-12-06 10:43:00,4.25,12708,"Germany"
"183","537250","21216","SET 3 RETROSPOT TEA,COFFEE,SUGAR",4,2010-12-06 10:43:00,4.95,12708,"Germany"
"184","537250","22326","ROUND SNACK BOXES SET OF4 WOODLAND",6,2010-12-06 10:43:00,2.95,12708,"Germany"
"185","537250","20675","BLUE POLKADOT BOWL",8,2010-12-06 10:43:00,1.25,12708,"Germany"
"186","537250","21240","BLUE POLKADOT CUP",8,2010-12-06 10:43:00,0.85,12708,"Germany"
"187","537250","20676","RED RETROSPOT BOWL",8,2010-12-06 10:43:00,1.25,12708,"Germany"
"188","537250","21238","RED RETROSPOT CUP",8,2010-12-06 10:43:00,0.85,12708,"Germany"
"189","537250","21242","RED RETROSPOT PLATE",8,2010-12-06 10:43:00,1.69,12708,"Germany"
"190","537250","21244","BLUE POLKADOT PLATE",8,2010-12-06 10:43:00,1.69,12708,"Germany"
"191","537250","22467","GUMBALL COAT RACK",6,2010-12-06 10:43:00,2.55,12708,"Germany"
"192","537250","22082","RIBBON REEL STRIPES DESIGN",10,2010-12-06 10:43:00,1.65,12708,"Germany"
"193","537250","22328","ROUND SNACK BOXES SET OF 4 FRUITS",6,2010-12-06 10:43:00,2.95,12708,"Germany"
"194","537250","21484","CHICK GREY HOT WATER BOTTLE",4,2010-12-06 10:43:00,3.45,12708,"Germany"
"195","537250","POST","POSTAGE",1,2010-12-06 10:43:00,18,12708,"Germany"
"196","C537333","22636","CHILDS BREAKFAST SET CIRCUS PARADE",-4,2010-12-06 12:00:00,8.5,12474,"Germany"
"197","537594","84968C","SET OF 16 VINTAGE PISTACHIO CUTLERY",4,2010-12-07 12:28:00,12.75,12647,"Germany"
"198","537594","84968A","SET OF 16 VINTAGE ROSE CUTLERY",2,2010-12-07 12:28:00,12.75,12647,"Germany"
"199","537594","22846","BREAD BIN DINER STYLE RED",4,2010-12-07 12:28:00,14.95,12647,"Germany"
"200","537594","22847","BREAD BIN DINER STYLE IVORY",4,2010-12-07 12:28:00,14.95,12647,"Germany"
"201","537594","47559B","TEA TIME OVEN GLOVE",20,2010-12-07 12:28:00,1.25,12647,"Germany"
"202","537594","22244","3 HOOK HANGER MAGIC GARDEN",12,2010-12-07 12:28:00,1.95,12647,"Germany"
"203","537594","22199","FRYING PAN RED RETROSPOT",24,2010-12-07 12:28:00,3.75,12647,"Germany"
"204","537594","22200","FRYING PAN PINK POLKADOT",4,2010-12-07 12:28:00,4.25,12647,"Germany"
"205","537594","21035","SET/2 RED RETROSPOT TEA TOWELS",12,2010-12-07 12:28:00,2.95,12647,"Germany"
"206","537594","22203","MILK PAN RED RETROSPOT",4,2010-12-07 12:28:00,3.75,12647,"Germany"
"207","537594","22202","MILK PAN PINK POLKADOT",4,2010-12-07 12:28:00,3.75,12647,"Germany"
"208","537594","21731","RED TOADSTOOL LED NIGHT LIGHT",12,2010-12-07 12:28:00,1.65,12647,"Germany"
"209","537594","22624","IVORY KITCHEN SCALES",2,2010-12-07 12:28:00,8.5,12647,"Germany"
"210","537594","21789","KIDS RAIN MAC PINK",24,2010-12-07 12:28:00,0.85,12647,"Germany"
"211","537594","21452","TOADSTOOL MONEY BOX",6,2010-12-07 12:28:00,2.95,12647,"Germany"
"212","537594","21949","SET OF 6 STRAWBERRY CHOPSTICKS",12,2010-12-07 12:28:00,1.25,12647,"Germany"
"213","537594","POST","POSTAGE",5,2010-12-07 12:28:00,18,12647,"Germany"
"214","537673","21429","RED GINGHAM ROSE JEWELLERY BOX",10,2010-12-08 09:49:00,1.65,12709,"Germany"
"215","537673","22467","GUMBALL COAT RACK",36,2010-12-08 09:49:00,2.1,12709,"Germany"
"216","537673","22625","RED KITCHEN SCALES",24,2010-12-08 09:49:00,7.65,12709,"Germany"
"217","537673","22627","MINT KITCHEN SCALES",6,2010-12-08 09:49:00,8.5,12709,"Germany"
"218","537673","85049E","SCANDINAVIAN REDS RIBBONS",24,2010-12-08 09:49:00,1.25,12709,"Germany"
"219","537673","20979","36 PENCILS TUBE RED RETROSPOT",32,2010-12-08 09:49:00,1.25,12709,"Germany"
"220","537673","POST","POSTAGE",7,2010-12-08 09:49:00,18,12709,"Germany"
"221","C537814","20703","BLUE PADDED SOFT MOBILE",-3,2010-12-08 13:43:00,4.25,12712,"Germany"
"222","537892","POST","POSTAGE",1,2010-12-09 10:13:00,18,12481,"Germany"
"223","537892","22468","BABUSHKA LIGHTS STRING OF 10",2,2010-12-09 10:13:00,6.75,12481,"Germany"
"224","537892","22636","CHILDS BREAKFAST SET CIRCUS PARADE",2,2010-12-09 10:13:00,8.5,12481,"Germany"
"225","537892","21918","SET 12 KIDS COLOUR  CHALK STICKS",24,2010-12-09 10:13:00,0.42,12481,"Germany"
"226","537892","21791","VINTAGE HEADS AND TAILS CARD GAME",12,2010-12-09 10:13:00,1.25,12481,"Germany"
"227","537892","22620","4 TRADITIONAL SPINNING TOPS",12,2010-12-09 10:13:00,1.25,12481,"Germany"
"228","537892","22556","PLASTERS IN TIN CIRCUS PARADE",12,2010-12-09 10:13:00,1.65,12481,"Germany"
"229","537892","21156","RETROSPOT CHILDRENS APRON",8,2010-12-09 10:13:00,1.95,12481,"Germany"
"230","537892","22326","ROUND SNACK BOXES SET OF4 WOODLAND",6,2010-12-09 10:13:00,2.95,12481,"Germany"
"231","537892","22328","ROUND SNACK BOXES SET OF 4 FRUITS",6,2010-12-09 10:13:00,2.95,12481,"Germany"
"232","537894","22943","CHRISTMAS LIGHTS 10 VINTAGE BAUBLES",3,2010-12-09 10:16:00,4.95,12621,"Germany"
"233","537894","22964","3 PIECE SPACEBOY COOKIE CUTTER SET",6,2010-12-09 10:16:00,2.1,12621,"Germany"
"234","537894","22972","CHILDREN'S SPACEBOY MUG",12,2010-12-09 10:16:00,1.65,12621,"Germany"
"235","537894","22551","PLASTERS IN TIN SPACEBOY",24,2010-12-09 10:16:00,1.65,12621,"Germany"
"236","537894","21680","WOODLAND  STICKERS",36,2010-12-09 10:16:00,0.85,12621,"Germany"
"237","537894","22331","WOODLAND PARTY BAG + STICKER SET",24,2010-12-09 10:16:00,1.65,12621,"Germany"
"238","537894","22326","ROUND SNACK BOXES SET OF4 WOODLAND",30,2010-12-09 10:16:00,2.95,12621,"Germany"
"239","537894","22730","ALARM CLOCK BAKELIKE IVORY",12,2010-12-09 10:16:00,3.75,12621,"Germany"
"240","537894","22727","ALARM CLOCK BAKELIKE RED",12,2010-12-09 10:16:00,3.75,12621,"Germany"
"241","537894","22725","ALARM CLOCK BAKELIKE CHOCOLATE",12,2010-12-09 10:16:00,3.75,12621,"Germany"
"242","537894","22891","TEA FOR ONE POLKADOT",6,2010-12-09 10:16:00,4.25,12621,"Germany"
"243","537894","17003","BROCADE RING PURSE",36,2010-12-09 10:16:00,0.21,12621,"Germany"
"244","537894","22585","PACK OF 6 BIRDY GIFT TAGS",12,2010-12-09 10:16:00,1.25,12621,"Germany"
"245","537894","POST","POSTAGE",2,2010-12-09 10:16:00,18,12621,"Germany"
"246","537995","22173","METAL 4 HOOK HANGER FRENCH CHATEAU",8,2010-12-09 11:39:00,2.95,12712,"Germany"
