,review,negative-score,positive-score,compound-pos,compound-neg
66,horrible switch 3 times,0.93,0.07,0.018070971,0.233487846
67,dont make mistake,0.97,0.03,0.007745734,0.242949112
68,good product well made,0.01,0.99,0.247654058,0.00258198
69,awesome device,0.11,0.89,0.223959796,0.028390429
70,earpiece large heavy keeps falling ear,0.53,0.47,0.120469662,0.135581802
71,bethe audio quality poor,0.97,0.03,0.007745734,0.242949112
72,everything,0.2,0.8,0.202288695,0.051571062
73,unreliable service tmobile,0.81,0.19,0.048998863,0.204711964
74,well made easy access phone handy detachable belt clip,0.13,0.87,0.219171391,0.033546963
75,even bmw 3 series fairly quiet trouble hearing person saying,0.78,0.22,0.056712334,0.197431029
76,really good product,0.05,0.95,0.238226957,0.012908869
77,yet run new battery two bars thats three days without charging,0.69,0.31,0.079786481,0.175395452
78,received orders well within shipping timeframe everything good working order overall excited source,0.02,0.98,0.245303751,0.005163909
79,excellent product satisfied purchase,0.07,0.93,0.233487846,0.018070971
80,cheap plastic creaks like old wooden floor,0.82,0.18,0.046425687,0.207131475
81,bought mainly charger broke soon purchasing,0.93,0.07,0.018070971,0.233487846
82,plantronics bluetooth excelent buy,0.73,0.27,0.069544911,0.185223713
83,seems completely secure holding belt keeping iphone inside,0.64,0.36,0.092552633,0.163036293
84,works like charm works advertised,0.01,0.99,0.247654058,0.00258198
85,theres horrible tick sound background calls never experienced,0.88,0.12,0.030969005,0.221567597
86,great reception time,0.04,0.96,0.24059017,0.010327405
87,problems wit hit dropping signal,0.45,0.55,0.140598762,0.115413074
88,trying make call exercise frustration,0.79,0.21,0.054142236,0.199861704
89,tmobile best customer service anywhere,0.33,0.67,0.170461389,0.084898011
90,screen get smudged easily touches ear face,0.68,0.32,0.082343058,0.172930047
91,stupid,0.71,0.29,0.074668649,0.180316334
92,excellent hands free tool,0.03,0.97,0.242949112,0.007745734
93,impressed would recommend item anyone,0.2,0.8,0.202288695,0.051571062
94,one favorite purchases ever,0.86,0.14,0.036124251,0.216771212
95,pleased headset,0.03,0.97,0.242949112,0.007745734
96,didnt want clip going top ear causing discomfort,0.93,0.07,0.018070971,0.233487846
97,perhaps phone defective people cannot hear use,0.8,0.2,0.051571062,0.202288695
98,doesnt hold charge,0.97,0.03,0.007745734,0.242949112
99,got phone around end may im completely unhappy,0.59,0.41,0.105273307,0.150599906
100,saggy floppy piece junk,0.99,0.01,0.00258198,0.247654058
101,best headset used,0.04,0.96,0.24059017,0.010327405
102,beware,0.61,0.39,0.10019088,0.155583392
103,finds cell phone right away enter car,0.61,0.39,0.10019088,0.155583392
104,design might ergonomic theory could stand ear,0.97,0.03,0.007745734,0.242949112
105,item received counterfeit,0.61,0.39,0.10019088,0.155583392
106,im glad found product amazon hard find wasnt high priced,0.33,0.67,0.170461389,0.084898011
107,however keypads tinny sometimes reach wrong buttons,0.91,0.09,0.023231628,0.228732038
108,keep getting better better third one ive numerous palms,0.63,0.37,0.095100599,0.160555026
109,looking good quality motorola headset keep looking isnt,0.1,0.9,0.226347955,0.025811287
110,yes shiny front side love,0.39,0.61,0.155583392,0.10019088
111,like design look jabra behing ear headsets 5020 pretty comfortible wear 24 hours day without pain ear,0.41,0.59,0.150599906,0.105273307
112,earlier review noted plug charger nothing happens,0.94,0.06,0.015490075,0.235859505
113,wind completely useless,0.96,0.04,0.010327405,0.24059017
114,ive missed numerous calls reason,0.82,0.18,0.046425687,0.207131475
115,drain player may also potentially fry,0.85,0.15,0.038700819,0.214367096
116,always used corded headsets freedom wireless helpful,0.69,0.31,0.079786481,0.175395452
117,bt headset disapoinment,0.37,0.63,0.160555026,0.095100599
118,would recommend,0.02,0.98,0.245303751,0.005163909
119,know made wise decision,0.71,0.29,0.074668649,0.180316334
120,fit,0.92,0.08,0.020651506,0.231112013
121,love product,0.01,0.99,0.247654058,0.00258198
122,good item worked started problems auto reverse tape player,0.29,0.71,0.180316334,0.074668649
123,bad fit way big,0.99,0.01,0.00258198,0.247654058
124,also new problem,0.73,0.27,0.069544911,0.185223713
125,warning stay away,0.95,0.05,0.012908869,0.238226957
126,would recommend purchasing jabra jx10 series 2 works flawlessly moto q go figure,0.03,0.97,0.242949112,0.007745734
127,excellent starter wireless headset,0.01,0.99,0.247654058,0.00258198
128,pairing iphone could happier far,0.74,0.26,0.066980951,0.187672241
129,worst phone ever,0.97,0.03,0.007745734,0.242949112
130,worst customer service ever,0.98,0.02,0.005163909,0.245303751
131,happy far,0.02,0.98,0.245303751,0.005163909
132,poor talk time performance,0.99,0.01,0.00258198,0.247654058
133,fits securely ear hook even need used sound better directed ear canal,0.44,0.56,0.143103211,0.112881386
134,waste 13 bucks,0.97,0.03,0.007745734,0.242949112
135,also makes easier hold,0.73,0.27,0.069544911,0.185223713
136,screen size big key pad lit well enough camera quality excellent camera phone,0.12,0.88,0.221567597,0.030969005
137,none tones acceptable,0.91,0.09,0.023231628,0.228732038
138,give wirefly 1 star contact cingularatt inform practice,0.65,0.35,0.090002847,0.16551447
139,best ive found far ive tried 2 bluetooths one best quality listener well ease using,0.01,0.99,0.247654058,0.00258198
140,cant get software work computer,0.87,0.13,0.033546963,0.219171391
141,customer service terrible,0.98,0.02,0.005163909,0.245303751
142,joy use,0.69,0.31,0.079786481,0.175395452
143,need least 3 mins get phone book time first turn phone battery life short,0.81,0.19,0.048998863,0.204711964
144,good audio quality,0.09,0.91,0.228732038,0.023231628
145,connected wifes bluetooth motorola hs850 phone worked like charm whether phone pocket case,0.19,0.81,0.204711964,0.048998863
146,piece crap,0.94,0.06,0.015490075,0.235859505
147,got aluminum case new palm vx worked really wellit protected handheld perfectly far,0.14,0.86,0.216771212,0.036124251
148,phone got year old slowly breaking despite much care part,0.56,0.44,0.112881386,0.143103211
149,oh charger seems work fine,0.68,0.32,0.082343058,0.172930047
150,phone falls easily,0.64,0.36,0.092552633,0.163036293
151,displeased,0.61,0.39,0.10019088,0.155583392
152,used several phone two years one best,0.23,0.77,0.194996707,0.059281304
153,happy item,0.03,0.97,0.242949112,0.007745734
154,last forever overly expensive replace easy operate sound much better others tried,0.21,0.79,0.199861704,0.054142236
155,worst piece crap ever along verizon customer service,0.98,0.02,0.005163909,0.245303751
156,fabulous,0.61,0.39,0.10019088,0.155583392
157,overall psyched phone appointments contacts gets great reception,0.03,0.97,0.242949112,0.007745734
158,disappointment,0.97,0.03,0.007745734,0.242949112
159,small dont even realize getting used,0.84,0.16,0.041276615,0.211959077
160,father v265 battery dying,0.88,0.12,0.030969005,0.221567597
161,great item,0,1,0.25,0
162,might gotten defect would risk buying built quality alone,0.57,0.43,0.110347497,0.145604914
163,im happy purchase good quality low price,0.04,0.96,0.24059017,0.010327405
164,cheap hey works pleasantly suprised given low cost item,0.47,0.53,0.135581802,0.120469662
165,average phone bad battery life operates weak network,0.95,0.05,0.012908869,0.238226957
166,phone crashed completely get replaced,0.7,0.3,0.077228328,0.17785756
167,sound quality great,0,1,0.25,0
168,works fine,0.01,0.99,0.247654058,0.00258198
169,wouldnt recommend buying product,0.25,0.75,0.190117275,0.064415663
170,worked well,0.12,0.88,0.221567597,0.030969005
171,two seperated mere 5 ft started notice excessive static garbled sound headset,0.31,0.69,0.175395452,0.079786481
172,put latest os v1 15g likes slow crawl lock every,0.76,0.24,0.061849097,0.192558777
173,much disappointed company,0.95,0.05,0.012908869,0.238226957
174,dont buy product fails,0.97,0.03,0.007745734,0.242949112
175,buy different phone,0.85,0.15,0.038700819,0.214367096
176,looking headset long time ive got couldnt happier,0.3,0.7,0.17785756,0.077228328
177,could get strong enough signal,0.95,0.05,0.012908869,0.238226957
178,volume ringer real good choices loud,0.3,0.7,0.17785756,0.077228328
179,save money ive item 11 months,0.88,0.12,0.030969005,0.221567597
180,oh forgot also mention weird color effect phone,0.28,0.72,0.182771731,0.072107494
181,phones working fine,0.2,0.8,0.202288695,0.051571062
182,phone gets extremely hot,0.29,0.71,0.180316334,0.074668649
183,light weight hardly notice,0.61,0.39,0.10019088,0.155583392
184,ive tried several different earpieces cell phone jabra one first one ive found fits ear comfortably,0.47,0.53,0.135581802,0.120469662
185,didnt charge,0.95,0.05,0.012908869,0.238226957
186,far worked like charm,0.17,0.83,0.209547192,0.043851588
187,would advise purchase item never worked well,0.57,0.43,0.110347497,0.145604914
188,love device,0.02,0.98,0.245303751,0.005163909
189,opens battery connection broken device turned,0.79,0.21,0.054142236,0.199861704
190,bad pay month service,0.89,0.11,0.028390429,0.223959796
191,first reception sucks never 2 bars ever,0.99,0.01,0.00258198,0.247654058
192,anyone near hear part conversation,0.84,0.16,0.041276615,0.211959077
193,treo tmobile refused replace forced buy another phone without kind upgrade discount,0.53,0.47,0.120469662,0.135581802
194,also phone doesnt seem accept anything except cbr mp3s preferably ripped windows media player,0.8,0.2,0.051571062,0.202288695
195,seller shipped quickly much cheaper competitors,0.18,0.82,0.207131475,0.046425687
196,nano stated son dissapointed,0.76,0.24,0.061849097,0.192558777
197,cannot make calls certain places,0.91,0.09,0.023231628,0.228732038
198,mic great,0.01,0.99,0.247654058,0.00258198
199,audio quality poor poor,0.99,0.01,0.00258198,0.247654058
200,disappointed,0.99,0.01,0.00258198,0.247654058
201,buttons small,0.22,0.78,0.197431029,0.056712334
202,big waste time,0.97,0.03,0.007745734,0.242949112
203,design good 4,0.16,0.84,0.211959077,0.041276615
204,would highly recommend product,0.02,0.98,0.245303751,0.005163909
205,cumbersome design,0.83,0.17,0.043851588,0.209547192
206,camera color balance awful,0.63,0.37,0.095100599,0.160555026
207,disappointed,0.99,0.01,0.00258198,0.247654058
208,choice headset years great sound good volume good noise cancellation,0,1,0.25,0
209,impressed going original battery extended battery,0.88,0.12,0.030969005,0.221567597
210,bt50 battery junk,0.97,0.03,0.007745734,0.242949112
211,nice headphones price work great,0.01,0.99,0.247654058,0.00258198
212,nice design quality,0.08,0.92,0.231112013,0.020651506
213,absolutel junk,0.95,0.05,0.012908869,0.238226957
214,earbud piece breaks easily,0.92,0.08,0.020651506,0.231112013
215,someone shouldve invented sooner,0.61,0.39,0.10019088,0.155583392
216,around years carries highest quality antiglare screen protector found date,0.5,0.5,0.12803688,0.12803688
217,commercials misleading,0.61,0.39,0.10019088,0.155583392
218,battery life also great,0.07,0.93,0.233487846,0.018070971
219,sweetest phone,0.35,0.65,0.16551447,0.090002847
220,defective crap,0.82,0.18,0.046425687,0.207131475
221,worthless product,0.67,0.33,0.084898011,0.170461389
222,waste,0.97,0.03,0.007745734,0.242949112
223,excellent product price,0.01,0.99,0.247654058,0.00258198
224,go store bought new nokia phone working great,0.28,0.72,0.182771731,0.072107494
225,love cable allows connect miniusb device pc,0.18,0.82,0.207131475,0.046425687
226,hoping,0.72,0.28,0.072107494,0.182771731
227,think good investment,0.07,0.93,0.233487846,0.018070971
228,hear im driving car usually dont even put loudest setting,0.84,0.16,0.041276615,0.211959077
229,good product good seller,0.01,0.99,0.247654058,0.00258198
230,product excellent works better verizon one boy cheaper,0,1,0.25,0
231,happy,0.01,0.99,0.247654058,0.00258198
232,looks nice,0.11,0.89,0.223959796,0.028390429
233,design odd ear clip comfortable,0.57,0.43,0.110347497,0.145604914
234,made case small difficult install,0.53,0.47,0.120469662,0.135581802
235,bluetooth range good days ago left phone trunk got call carried conversation without hitch,0.14,0.86,0.216771212,0.036124251
236,appears actually outperform original battery china came v325i,0.68,0.32,0.082343058,0.172930047
237,aggravating,0.61,0.39,0.10019088,0.155583392
238,especially love long battery life,0.09,0.91,0.228732038,0.023231628
239,nice headset priced right,0.03,0.97,0.242949112,0.007745734
240,cheap feel look cheap,0.57,0.43,0.110347497,0.145604914
241,design flaw,0.77,0.23,0.059281304,0.194996707
242,didnt think instructions provided helpful,0.75,0.25,0.064415663,0.190117275
243,delivery time,0.88,0.12,0.030969005,0.221567597
244,software great job could also make ringtones form existing cds without internet connection,0.17,0.83,0.209547192,0.043851588
245,thats huge design flaw unless im using correctly dont think case,0.85,0.15,0.038700819,0.214367096
246,comes strong light use light camera shots even flash sos signals seriously,0.68,0.32,0.082343058,0.172930047
247,found product easy set use,0.2,0.8,0.202288695,0.051571062
248,waste money,1,0,0,0.25
249,feels comfortable headsets wear glasses gets way sometimes,0.24,0.76,0.192558777,0.061849097
250,works good,0,1,0.25,0
251,igo chargers tips really great,0.06,0.94,0.235859505,0.015490075
252,howeverthe riingtones best neither games,0.19,0.81,0.204711964,0.048998863
253,impressed headset plantronics,0.69,0.31,0.079786481,0.175395452
254,better new,0.55,0.45,0.115413074,0.140598762
255,item arrived quickly works great metro pcs samsung schr450 slider phone sony premium sound ear plugs,0,1,0.25,0
256,take battery phone put back together restart,0.89,0.11,0.028390429,0.223959796
257,battery life still long enough motorola razor v3i,0.84,0.16,0.041276615,0.211959077
258,going first negatively review product,0.94,0.06,0.015490075,0.235859505
259,color even prettier thought would graphics incredibly sharp,0.3,0.7,0.17785756,0.077228328
260,attractive appears good quality,0.02,0.98,0.245303751,0.005163909
261,reversible plug works great,0,1,0.25,0
262,comfortable ear,0.15,0.85,0.214367096,0.038700819
263,real improvement,0.64,0.36,0.092552633,0.163036293
264,found product waaay big,0.52,0.48,0.122994469,0.133069381
265,sound clear people talk amazed quality,0.23,0.77,0.194996707,0.059281304
266,dont waste money,1,0,0,0.25
267,find inexcusable probably returning phone perhaps changing carriers,0.66,0.34,0.08745129,0.167989516
268,additional ear gels provided instructions whatsoever,0.58,0.42,0.107811455,0.148103827
269,battery holding well,0.08,0.92,0.231112013,0.020651506
270,needless say wasted money,0.79,0.21,0.054142236,0.199861704
271,theres really nothing bad say headset,0.52,0.48,0.122994469,0.133069381
272,much hype phone assumed best mistake,0.08,0.92,0.231112013,0.020651506
273,simply best bluetooth headset sound quality,0.04,0.96,0.24059017,0.010327405
274,impressed price cases,0.18,0.82,0.207131475,0.046425687
275,lot websites rating good phone,0.03,0.97,0.242949112,0.007745734
276,kind embarrassing use looks mostly embarrassing childlike company,0.91,0.09,0.023231628,0.228732038
277,really good far probably best bt headset ever,0.03,0.97,0.242949112,0.007745734
278,get better reception clarity phone ive,0.31,0.69,0.175395452,0.079786481
279,case great works fine 680,0,1,0.25,0
280,phone works great,0,1,0.25,0
281,dont waste money,1,0,0,0.25
282,work,0.99,0.01,0.00258198,0.247654058
283,buttons bad,0.96,0.04,0.010327405,0.24059017
284,love bluetooth,0.02,0.98,0.245303751,0.005163909
285,excellent service,0.01,0.99,0.247654058,0.00258198
286,particular model would work motorola q smartphone,0.79,0.21,0.054142236,0.199861704
287,yet plantronincs continues use flawed charger design,0.72,0.28,0.072107494,0.182771731
288,warning buy,0.88,0.12,0.030969005,0.221567597
289,excellent phone,0,1,0.25,0
290,simply want small flip phone look elsewhere extra bells whistles mediocre,0.41,0.59,0.150599906,0.105273307
291,setup went smoothly,0.67,0.33,0.084898011,0.170461389
292,product high quality chinese crap,0.76,0.24,0.061849097,0.192558777
293,ordered sony ericsson w810i think worked thats first used,0.74,0.26,0.066980951,0.187672241
294,another note phones appearance really looks rather bland especially black model,0.55,0.45,0.115413074,0.140598762
295,great product sure beats using fingers,0.02,0.98,0.245303751,0.005163909
296,gosh best phone ever,0.08,0.92,0.231112013,0.020651506
297,simple lightweight great fit,0.05,0.95,0.238226957,0.012908869
298,light easy use clear reception transmission,0.04,0.96,0.24059017,0.010327405
299,continue pairing periodically since somehow kept dropping,0.52,0.48,0.122994469,0.133069381
