Country,Year,Bank account,Location Type,Access to cellphone,Household size,Age of respondent,Gender of respondent,Relation with head of the house,Marital status,Education level,Job type
Kenya,2018,No,Urban,Yes,1,31,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,4,26,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,2018,No,Rural,No,7,58,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Kenya,2018,No,Urban,Yes,5,55,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,No,Urban,Yes,5,38,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,Yes,Urban,Yes,4,62,Female,Spouse,Married/Living together,Primary education,Formally employed Government
Kenya,2018,No,Rural,Yes,3,29,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,10,42,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,5,48,Female,Head of Household,Widowed,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,4,35,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,5,45,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,8,45,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Rural,No,3,70,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,No,Rural,Yes,6,67,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
Kenya,2018,No,Urban,Yes,4,19,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,Yes,Rural,Yes,3,80,Male,Head of Household,Widowed,Primary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,2,66,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,No,Urban,No,1,31,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
Kenya,2018,No,Rural,Yes,1,50,Female,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,2018,No,Rural,No,3,29,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,4,33,Male,Head of Household,Married/Living together,Vocational/Specialised training,Farming and Fishing
Kenya,2018,No,Urban,Yes,4,28,Female,Child,Married/Living together,Vocational/Specialised training,Self employed
Kenya,2018,No,Urban,Yes,3,28,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
Kenya,2018,No,Urban,Yes,3,26,Female,Head of Household,Divorced/Seperated,Secondary education,Informally employed
Kenya,2018,No,Urban,Yes,2,51,Female,Head of Household,Single/Never Married,Secondary education,Self employed
Kenya,2018,No,Urban,No,5,16,Female,Other relative,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,2,17,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,Yes,Urban,Yes,1,22,Female,Head of Household,Single/Never Married,Secondary education,Self employed
Kenya,2018,No,Rural,Yes,3,66,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,Yes,Rural,Yes,6,50,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Government
Kenya,2018,No,Urban,Yes,4,33,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,11,21,Male,Child,Single/Never Married,Other/Dont know/RTA,Informally employed
Kenya,2018,No,Rural,Yes,5,30,Female,Spouse,Married/Living together,Secondary education,Informally employed
Kenya,2018,No,Rural,Yes,8,30,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
Kenya,2018,No,Rural,No,1,67,Female,Head of Household,Widowed,No formal education,Informally employed
Kenya,2018,No,Rural,Yes,3,50,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,Yes,Urban,Yes,1,25,Female,Head of Household,Single/Never Married,Tertiary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,6,25,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,No,Urban,No,3,30,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Rural,No,1,37,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,2018,Yes,Urban,Yes,1,30,Female,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,No,Urban,No,5,28,Female,Child,Single/Never Married,Primary education,Informally employed
Kenya,2018,Yes,Urban,Yes,1,30,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private
Kenya,2018,No,Rural,Yes,2,59,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Informally employed
Kenya,2018,No,Urban,Yes,5,29,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,No,Rural,No,4,31,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Urban,Yes,3,27,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
Kenya,2018,Yes,Rural,Yes,4,55,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Urban,Yes,4,34,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Urban,No,4,17,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,No,Urban,No,3,21,Female,Spouse,Married/Living together,Vocational/Specialised training,Informally employed
Kenya,2018,No,Urban,Yes,5,37,Female,Head of Household,Divorced/Seperated,Secondary education,Informally employed
Kenya,2018,No,Rural,No,4,42,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Rural,No,8,40,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,No,Rural,No,4,17,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,No,Urban,No,4,65,Female,Spouse,Married/Living together,No formal education,Informally employed
Kenya,2018,No,Rural,Yes,7,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,No,Urban,Yes,3,34,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Informally employed
Kenya,2018,No,Rural,Yes,4,46,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,Yes,Urban,Yes,1,54,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,2018,No,Urban,Yes,4,27,Female,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,4,21,Female,Child,Single/Never Married,Primary education,Informally employed
Kenya,2018,No,Rural,No,4,64,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,No,Rural,Yes,3,56,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,No,Rural,No,6,40,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
Kenya,2018,Yes,Urban,Yes,10,21,Female,Parent,Single/Never Married,Tertiary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,9,18,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,Yes,Rural,Yes,1,42,Male,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing
Kenya,2018,No,Rural,No,2,22,Male,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,8,52,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Urban,Yes,6,35,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,2,64,Female,Head of Household,Widowed,Primary education,Remittance Dependent
Kenya,2018,Yes,Urban,Yes,5,42,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,No,Urban,Yes,10,23,Female,Other relative,Divorced/Seperated,Primary education,Formally employed Private
Kenya,2018,No,Rural,Yes,1,42,Male,Head of Household,Married/Living together,Vocational/Specialised training,Informally employed
Kenya,2018,No,Urban,Yes,2,27,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government
Kenya,2018,No,Rural,Yes,2,43,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,Yes,Urban,No,4,16,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,Yes,Urban,Yes,4,26,Male,Other relative,Single/Never Married,Secondary education,Informally employed
Kenya,2018,No,Rural,No,4,19,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,Yes,Rural,Yes,6,49,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Government
Kenya,2018,No,Urban,Yes,9,44,Female,Head of Household,Married/Living together,No formal education,Self employed
Kenya,2018,No,Urban,Yes,1,30,Female,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,2018,No,Rural,No,3,16,Female,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,No,Urban,Yes,7,50,Female,Spouse,Married/Living together,Vocational/Specialised training,Farming and Fishing
Kenya,2018,No,Rural,Yes,2,30,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,2018,No,Urban,Yes,5,49,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,No,Rural,No,8,72,Female,Parent,Widowed,No formal education,Remittance Dependent
Kenya,2018,No,Rural,Yes,4,18,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,2,21,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,9,52,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,Yes,Rural,Yes,4,55,Male,Child,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,5,35,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,6,38,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,6,19,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,Yes,Urban,Yes,7,53,Female,Head of Household,Married/Living together,Tertiary education,Self employed
Kenya,2018,No,Urban,No,2,17,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,No,Urban,Yes,5,29,Female,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,Yes,Rural,Yes,1,24,Female,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
Kenya,2018,No,Urban,Yes,7,63,Male,Spouse,Married/Living together,Vocational/Specialised training,Farming and Fishing
Kenya,2018,No,Urban,Yes,2,47,Female,Head of Household,Married/Living together,Secondary education,Remittance Dependent
Kenya,2018,Yes,Urban,Yes,4,42,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Government
Kenya,2018,No,Rural,No,3,17,Male,Child,Single/Never Married,Secondary education,Informally employed
Kenya,2018,Yes,Rural,Yes,4,28,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Urban,Yes,7,62,Male,Head of Household,Widowed,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,2,52,Female,Head of Household,Widowed,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,3,44,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,2018,No,Urban,Yes,6,28,Female,Head of Household,Married/Living together,No formal education,Self employed
Kenya,2018,Yes,Urban,Yes,4,30,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,2018,Yes,Urban,Yes,4,39,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Urban,Yes,4,81,Male,Head of Household,Married/Living together,No formal education,Remittance Dependent
Kenya,2018,Yes,Rural,Yes,1,62,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,No,Urban,Yes,3,78,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,No,Urban,Yes,2,28,Female,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,2018,No,Urban,Yes,4,28,Male,Head of Household,Married/Living together,Primary education,Formally employed Government
Kenya,2018,No,Rural,Yes,5,39,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,8,42,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,No,Rural,No,6,17,Male,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,6,50,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,4,25,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,Yes,Urban,Yes,6,34,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,5,33,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,Yes,Urban,Yes,3,26,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,2018,No,Rural,No,8,36,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,No,Rural,Yes,4,78,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,Yes,Rural,Yes,5,36,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Government
Kenya,2018,No,Urban,No,7,17,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,No,Urban,Yes,1,20,Male,Head of Household,Single/Never Married,Tertiary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,1,30,Male,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,1,38,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,8,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Rural,No,4,50,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,Yes,Urban,Yes,7,40,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,2018,No,Urban,Yes,1,62,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,4,40,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,7,44,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,No,Rural,Yes,4,25,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,No,Rural,Yes,5,59,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,Yes,Urban,Yes,6,36,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,2018,No,Rural,Yes,7,60,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,Yes,Rural,Yes,3,42,Male,Head of Household,Married/Living together,No formal education,Formally employed Private
Kenya,2018,No,Rural,Yes,2,56,Female,Head of Household,Married/Living together,No formal education,Self employed
Kenya,2018,No,Urban,No,4,37,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,4,28,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
Kenya,2018,No,Rural,No,9,50,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Kenya,2018,No,Urban,Yes,2,55,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
Kenya,2018,No,Rural,Yes,7,65,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,5,48,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Urban,Yes,2,65,Female,Head of Household,Widowed,Primary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,7,55,Female,Head of Household,Widowed,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,5,31,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,No,Rural,No,2,55,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Kenya,2018,No,Urban,Yes,6,44,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,3,72,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Urban,No,3,18,Female,Child,Single/Never Married,Secondary education,Informally employed
Kenya,2018,No,Rural,Yes,4,26,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,1,53,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,3,28,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Urban,Yes,8,34,Female,Head of Household,Married/Living together,Tertiary education,Informally employed
Kenya,2018,No,Rural,Yes,4,55,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,No,Urban,Yes,2,48,Male,Head of Household,Married/Living together,Vocational/Specialised training,Informally employed
Kenya,2018,No,Rural,Yes,2,50,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,Yes,Rural,Yes,7,65,Female,Head of Household,Widowed,Secondary education,Farming and Fishing
Kenya,2018,Yes,Urban,Yes,3,53,Female,Head of Household,Widowed,Secondary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,5,45,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,No,Urban,Yes,2,29,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,2018,Yes,Urban,Yes,3,36,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Private
Kenya,2018,No,Rural,No,9,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,No,Rural,No,5,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,Yes,Urban,Yes,7,33,Female,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,No,Urban,Yes,4,25,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,Yes,Urban,Yes,2,30,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Government
Kenya,2018,Yes,Urban,Yes,5,48,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,Yes,Rural,Yes,2,80,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,No,Urban,Yes,6,42,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,5,69,Female,Head of Household,Married/Living together,No formal education,Self employed
Kenya,2018,No,Urban,Yes,3,23,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,2018,No,Rural,Yes,2,67,Female,Head of Household,Widowed,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,2,58,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,6,27,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
Kenya,2018,Yes,Rural,Yes,1,42,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Kenya,2018,No,Rural,No,5,80,Female,Head of Household,Widowed,No formal education,Government Dependent
Kenya,2018,No,Rural,No,3,95,Female,Parent,Widowed,No formal education,Informally employed
Kenya,2018,No,Rural,Yes,4,26,Female,Other relative,Single/Never Married,Secondary education,Informally employed
Kenya,2018,No,Urban,Yes,3,38,Female,Spouse,Married/Living together,Vocational/Specialised training,Remittance Dependent
Kenya,2018,No,Urban,Yes,1,64,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,No,Urban,Yes,6,16,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,No,Urban,No,4,49,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,No,Rural,No,5,33,Female,Head of Household,Widowed,No formal education,Self employed
Kenya,2018,No,Urban,Yes,4,35,Female,Head of Household,Divorced/Seperated,Secondary education,Self employed
Kenya,2018,Yes,Urban,Yes,1,28,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Private
Kenya,2018,No,Urban,Yes,4,38,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
Kenya,2018,No,Rural,Yes,3,29,Male,Head of Household,Married/Living together,No formal education,Self employed
Kenya,2018,No,Rural,Yes,5,26,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Rural,No,1,17,Male,Head of Household,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,4,36,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,Yes,Urban,Yes,3,28,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,2018,No,Urban,No,5,22,Female,Parent,Single/Never Married,Secondary education,Dont Know/Refuse to answer
Kenya,2018,No,Urban,Yes,1,65,Female,Head of Household,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,No,Urban,No,1,54,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Kenya,2018,Yes,Rural,Yes,4,66,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,No,Urban,Yes,3,54,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Rural,No,3,70,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,No,Rural,Yes,5,44,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,No,Urban,Yes,7,22,Male,Child,Single/Never Married,Secondary education,Informally employed
Kenya,2018,Yes,Rural,Yes,3,53,Male,Head of Household,Married/Living together,Tertiary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,7,28,Male,Child,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,8,42,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,5,24,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,Yes,Urban,Yes,3,40,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Private
Kenya,2018,No,Rural,Yes,4,33,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,No,Rural,Yes,2,60,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,2,40,Female,Other relative,Divorced/Seperated,Primary education,Formally employed Private
Kenya,2018,No,Rural,No,3,17,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,7,30,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
Kenya,2018,No,Urban,No,2,16,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,No,Rural,No,4,19,Male,Child,Single/Never Married,No formal education,Farming and Fishing
Kenya,2018,Yes,Rural,Yes,1,54,Female,Head of Household,Widowed,Secondary education,Self employed
Kenya,2018,Yes,Rural,Yes,1,33,Male,Head of Household,Single/Never Married,Tertiary education,Farming and Fishing
Kenya,2018,No,Urban,Yes,3,29,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
Kenya,2018,No,Rural,No,6,71,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Urban,Yes,9,26,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Rural,No,4,23,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,Yes,Urban,Yes,1,27,Male,Head of Household,Single/Never Married,Tertiary education,Informally employed
Kenya,2018,No,Rural,Yes,9,23,Male,Other relative,Single/Never Married,Primary education,Informally employed
Kenya,2018,Yes,Urban,Yes,6,47,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,No,Rural,No,7,40,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,No,Urban,No,4,17,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,5,42,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,2,54,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,2,33,Male,Head of Household,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,2,52,Female,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,4,57,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,No,Rural,Yes,4,42,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,No,Rural,Yes,1,24,Female,Head of Household,Single/Never Married,Primary education,Formally employed Private
Kenya,2018,No,Rural,Yes,5,32,Female,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,4,55,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,No,Rural,No,6,66,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Urban,Yes,5,49,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,No,Rural,Yes,3,25,Male,Child,Single/Never Married,Secondary education,Informally employed
Kenya,2018,No,Rural,Yes,5,34,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,No,Urban,Yes,1,85,Female,Head of Household,Widowed,Primary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,3,31,Male,Child,Single/Never Married,Secondary education,Informally employed
Kenya,2018,No,Rural,Yes,7,32,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,No,Rural,No,3,65,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
